"","location","date","total_cases","total_deaths","population","death_percentage","percent_pop_infected"
"1","Afghanistan","2/23/2023",209215,7896,41128772,3.77410797504959,0.508682826708271
"2","Africa","2/23/2023",12515173,257668,1426736614,2.05884489171664,0.877188745083961
"3","Albania","2/23/2023",334345,3598,2842318,1.07613393351179,11.763110250155
"4","Algeria","2/23/2023",271432,6881,44903228,2.53507324118011,0.604482154378745
"5","Andorra","2/16/2023",47866,165,79843,0.344712321898634,59.9501521736408
"6","Angola","2/22/2023",105205,1931,35588996,1.83546409391189,0.295611036624916
"7","Anguilla","11/7/2022",3904,12,15877,0.307377049180328,24.5890281539334
"8","Antigua and Barbuda","10/12/2022",9106,146,93772,1.60333845815946,9.71078786844687
"9","Argentina","2/20/2023",10043308,130458,45510324,1.29895448790379,22.0681970974322
"10","Armenia","2/22/2023",446819,8721,2780472,1.95179703638386,16.0698974850313
"11","Aruba","10/5/2022",44145,230,106459,0.521010306943029,41.466667919105
"12","Asia","2/23/2023",210429056,1622104,4721383370,0.7708555229179,4.45693644233766
"13","Australia","2/23/2023",11365396,19371,26177410,0.170438407953405,43.416808614756
"14","Austria","2/23/2023",5884691,21853,8939617,0.371353398164831,65.8271042260535
"15","Azerbaijan","2/23/2023",828449,10111,10358078,1.2204734389202,7.99809578572395
"16","Bahamas","12/2/2022",37491,833,409989,2.22186658131285,9.14439167880114
"17","Bahrain","2/23/2023",705830,1548,1472237,0.219316265956392,47.9426885752769
"18","Bangladesh","2/22/2023",2037773,29445,171186368,1.44495976735387,1.19038275290705
"19","Barbados","2/21/2023",106645,575,281646,0.539172019316424,37.8649084311512
"20","Belarus","7/5/2022",994037,7118,9534956,0.716069924962552,10.4251870695575
"21","Belgium","2/23/2023",4717655,33717,11655923,0.714698298201119,40.4743150756916
"22","Belize","2/20/2023",70740,688,405285,0.972575629064179,17.4543839520338
"23","Benin","2/8/2023",27990,163,13352864,0.582350839585566,0.20961795162446
"24","Bermuda","2/22/2023",18799,160,64207,0.851109101547955,29.2787390782936
"25","Bhutan","2/22/2023",62615,21,782457,0.0335382895472331,8.00235667902517
"26","Bolivia","2/23/2023",1192358,22363,12224114,1.87552731646032,9.75414659909094
"27","Bonaire Sint Eustatius and Saba","2/9/2023",11797,41,27052,0.347545986267695,43.6086056483809
"28","Bosnia and Herzegovina","2/22/2023",401575,16278,3233530,4.05353918944157,12.4190899728779
"29","Botswana","2/20/2023",329662,2801,2630300,0.849658134695537,12.5332471581188
"30","Brazil","2/23/2023",37008944,698834,215313504,1.88828408613875,17.188398921788
"31","British Virgin Islands","9/9/2022",7305,64,31332,0.876112251882272,23.3148219073152
"32","Brunei","2/22/2023",277992,225,449002,0.0809375809375809,61.9133099629846
"33","Bulgaria","2/23/2023",1296533,38210,6781955,2.94709043271556,19.1173931410633
"34","Burkina Faso","2/13/2023",22056,396,22673764,1.79542981501632,0.0972754237011552
"35","Burundi","2/15/2023",53609,38,12889583,0.0708836202876383,0.415909498391065
